Id;Sexo;Edad;NivelEduca;CategoriaLab;SalarioActual;SalarioInicial;Antigüedad;ExpPrevia;Minoria 
1;h;53;15;3;57,000 ;27,000 ;98;144;0
2;h;47;16;1;40,200 ;18,750 ;98;36;0
3;m;76;12;1;21,450 ;12,000 ;98;381;0
4;m;58;8;1;21,900 ;13,200 ;98;190;0
5;h;50;15;1;45,000 ;21,000 ;98;138;0
6;h;47;15;1;32,100 ;13,500 ;98;67;0
7;h;49;15;1;36,000 ;18,750 ;98;114;0
8;m;39;12;1;21,900 ;9,750 ;98;0;0
9;m;59;15;1;27,900 ;12,750 ;98;115;0
10;m;59;12;1;24,000 ;13,500 ;98;244;0
11;m;55;16;1;30,300 ;16,500 ;98;143;0
12;h;39;8;1;28,350 ;12,000 ;98;26;1
13;h;45;15;1;27,750 ;14,250 ;98;34;1
14;m;56;15;1;35,100 ;16,800 ;98;137;1
15;h;43;12;1;27,300 ;13,500 ;97;66;0
16;h;41;12;1;40,800 ;15,000 ;97;24;0
17;h;43;15;1;46,000 ;14,250 ;97;48;0
18;h;49;16;3;103,750 ;27,510 ;97;70;0
19;h;43;12;1;42,300 ;14,250 ;97;103;0
20;m;65;12;1;26,250 ;11,550 ;97;48;0
21;m;42;16;1;38,850 ;15,000 ;97;17;0
22;h;65;12;1;21,750 ;12,750 ;97;315;1
23;m;40;15;1;24,000 ;11,100 ;97;75;1
24;m;72;12;1;16,950 ;9,000 ;97;124;1
25;m;63;15;1;21,150 ;9,000 ;97;171;1
26;h;39;15;1;31,050 ;12,600 ;96;14;0
27;h;51;19;3;60,375 ;27,480 ;96;96;0
28;h;42;15;1;32,550 ;14,250 ;96;43;0
29;h;61;19;3;135,000 ;79,980 ;96;199;0
30;h;44;15;1;31,200 ;14,250 ;96;54;0
31;h;41;12;1;36,150 ;14,250 ;96;83;0
32;h;51;19;3;110,625 ;45,000 ;96;120;0
33;h;44;15;1;42,000 ;15,000 ;96;68;0
34;h;56;19;3;92,000 ;39,990 ;96;175;0
35;h;44;17;3;81,250 ;30,000 ;96;18;0
36;m;42;8;1;31,350 ;11,250 ;96;52;0
37;h;51;12;1;29,100 ;13,500 ;96;113;1
38;h;43;15;1;31,350 ;15,000 ;96;49;1
39;h;45;16;1;36,000 ;15,000 ;96;46;1
40;m;72;15;1;19,200 ;9,000 ;96;23;1
41;m;44;12;1;23,550 ;11,550 ;96;52;1
42;h;45;15;1;35,100 ;16,500 ;95;90;0
43;h;41;12;1;23,250 ;14,250 ;95;46;0
44;h;42;8;1;29,250 ;14,250 ;95;50;0
45;h;67;12;2;30,750 ;13,500 ;95;307;0
46;m;65;15;1;22,350 ;12,750 ;95;165;0
47;m;67;12;1;30,000 ;16,500 ;95;228;0
48;h;58;12;2;30,750 ;14,100 ;94;240;0
49;h;47;15;1;34,800 ;16,500 ;94;93;0
50;h;45;16;3;60,000 ;23,730 ;94;59;0
51;h;43;12;1;35,550 ;15,000 ;94;48;0
52;h;42;15;1;45,150 ;15,000 ;94;40;0
53;h;51;18;3;73,750 ;26,250 ;94;56;0
54;h;74;12;1;25,050 ;13,500 ;94;444;0
55;h;45;12;1;27,000 ;15,000 ;94;120;0
56;h;43;15;1;26,850 ;13,500 ;94;5;0
57;h;42;15;1;33,900 ;15,750 ;94;78;0
58;m;41;15;1;26,400 ;13,500 ;94;3;0
59;h;44;15;1;28,050 ;14,250 ;94;36;1
60;h;46;12;1;30,900 ;15,000 ;94;102;1
61;h;41;8;1;22,500 ;9,750 ;94;36;1
62;h;43;16;3;48,000 ;21,750 ;93;22;0
63;h;44;17;3;55,000 ;26,250 ;93;32;0
64;h;42;16;3;53,125 ;21,000 ;93;48;0
65;h;41;8;1;21,900 ;14,550 ;93;41;0
66;h;43;19;3;78,125 ;30,000 ;93;7;0
67;h;41;16;3;46,000 ;21,240 ;93;35;0
68;h;42;16;3;45,250 ;21,480 ;93;36;0
69;h;45;16;3;56,550 ;25,000 ;93;34;0
70;h;43;15;1;41,100 ;20,250 ;93;27;0
71;h;57;17;3;82,500 ;34,980 ;93;207;0
72;m;41;16;1;54,000 ;18,000 ;93;11;0
73;m;37;12;1;26,400 ;10,500 ;93;0;0
74;m;72;15;1;33,900 ;19,500 ;93;192;0
75;m;40;15;1;24,150 ;11,550 ;93;0;0
76;m;38;15;1;29,250 ;11,550 ;93;11;0
77;m;37;12;1;27,600 ;11,400 ;93;6;0
78;m;37;12;1;22,950 ;10,500 ;93;10;0
79;m;43;16;1;34,800 ;14,550 ;93;8;0
80;m;44;16;1;51,000 ;18,000 ;93;22;0
81;m;37;12;1;24,300 ;10,950 ;93;5;0
82;m;58;12;1;24,750 ;14,250 ;93;193;1
83;m;38;12;1;22,950 ;11,250 ;93;0;1
84;m;38;8;1;25,050 ;10,950 ;93;8;1
85;h;43;15;1;25,950 ;17,100 ;92;42;0
86;h;44;15;1;31,650 ;15,750 ;92;64;0
87;h;46;12;1;24,150 ;14,100 ;92;130;0
88;h;43;19;3;72,500 ;28,740 ;92;10;0
89;h;44;19;3;68,750 ;27,480 ;92;8;0
90;m;67;8;1;16,200 ;9,750 ;92;0;0
91;m;38;12;1;20,100 ;11,250 ;92;24;0
